,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CEP,Aprovado,Reprovado,lat,long,inice
498,498,498,498,59114240,1,1,,,0.5
499,499,499,499,59035170,1,1,-5.8021628,-35.231440899999996,0.5
500,500,500,500,59035030,1,2,-5.800793799999999,-35.23473679999999,0.3333333333333333
501,501,501,501,59115553,1,4,,,0.2
502,502,502,502,59032390,1,0,-5.8079649999999985,-35.215666999999996,1.0
503,503,503,503,59115684,1,2,,,0.3333333333333333
504,504,504,504,59120520,1,6,-5.7578799000000025,-35.2377161,0.14285714285714285
505,505,505,505,59086620,1,4,-5.864699,-35.2063721,0.2
506,506,506,506,59086070,1,1,-5.863128400000001,-35.2075319,0.5
507,507,507,507,59123445,1,3,-5.7418254,-35.2446551,0.25
508,508,508,508,59068060,1,0,-5.8630141,-35.23905689999999,1.0
509,509,509,509,59062305,1,3,-5.814161299999999,-35.2398333,0.25
510,510,510,510,59063110,1,0,-5.8219933999999975,-35.220591799999994,1.0
511,511,511,511,59063280,1,7,-5.824443799999999,-35.218131299999996,0.125
512,512,512,512,59064330,1,7,-5.8277455,-35.22217120000001,0.125
513,513,513,513,59064490,1,2,,,0.3333333333333333
514,514,514,514,59064530,1,6,-5.8382492999999975,-35.21309210000001,0.14285714285714285
515,515,515,515,59067270,1,2,-5.865444099999999,-35.233721300000006,0.3333333333333333
516,516,516,516,59067350,1,4,,,0.2
517,517,517,517,59067550,1,4,-5.8664349,-35.2282622,0.2
518,518,518,518,59070330,1,1,,,0.5
519,519,519,519,59052205,1,1,-5.810923499999999,-35.23108320000001,0.5
520,520,520,520,59071470,1,2,-5.8228333,-35.2410128,0.3333333333333333
521,521,521,521,59072480,1,3,,,0.25
522,522,522,522,59073090,1,3,-5.8488690000000005,-35.2550239,0.25
523,523,523,523,59074368,1,2,-5.8288867,-35.2579799,0.3333333333333333
524,524,524,524,59075750,1,0,,,1.0
525,525,525,525,59076150,1,1,,,0.5
526,526,526,526,59078200,1,0,,,1.0
527,527,527,527,59080015,1,0,,,1.0
528,528,528,528,59082010,1,0,-5.8547096,-35.2031473,1.0
529,529,529,529,59122510,1,1,-5.749173499999999,-35.23582800000001,0.5
530,530,530,530,59125470,1,2,-5.8887941,-35.164707899999996,0.3333333333333333
531,531,531,531,59142714,1,3,-5.9282829,-35.29013,0.25
532,532,532,532,59149220,1,0,-5.884789899999999,-35.249424499999996,1.0
533,533,533,533,59140770,1,2,-5.922969699999999,-35.2691403,0.3333333333333333
534,534,534,534,59139410,1,3,,,0.25
535,535,535,535,59138650,1,1,-5.730610200000001,-35.25901959999999,0.5
536,536,536,536,59141040,1,2,-5.916774999999999,-35.2693109,0.3333333333333333
537,537,537,537,59133305,1,3,-5.7397754,-35.23451160000001,0.25
538,538,538,538,59141210,1,0,-5.9198847,-35.27278070000001,1.0
539,539,539,539,59141715,1,2,,,0.3333333333333333
540,540,540,540,59147410,1,2,-5.8997224,-35.274101,0.3333333333333333
541,541,541,541,59147540,1,3,-5.902774,-35.270288799999996,0.25
542,542,542,542,59022390,1,1,-5.808438400000001,-35.2108222,0.5
543,543,543,543,59148670,1,0,-5.881086499999999,-35.2375966,1.0
544,544,544,544,59140750,1,2,,,0.3333333333333333
545,545,545,545,59132000,1,1,-5.7314677000000005,-35.2385907,0.5
546,546,546,546,59142330,1,0,,,1.0
547,547,547,547,59131370,1,6,-5.7241705000000005,-35.2448077,0.14285714285714285
548,548,548,548,59129431,1,1,,,0.5
549,549,549,549,59146030,1,1,-5.9088523,-35.2746699,0.5
550,550,550,550,59146060,1,2,-5.9065246,-35.27425239999999,0.3333333333333333
551,551,551,551,59144164,1,1,-5.946836200000001,-35.2784181,0.5
552,552,552,552,59149313,1,1,-5.880684,-35.245911,0.5
553,553,553,553,59129350,1,1,-5.743891899999999,-35.2576256,0.5
554,554,554,554,59149356,1,6,-5.8795753999999985,-35.25157210000001,0.14285714285714285
555,555,555,555,59146260,1,2,-5.907397799999999,-35.2689719,0.3333333333333333
556,556,556,556,59022545,1,1,-5.801233,-35.2063883,0.5
557,557,557,557,59146130,0,2,,,0.0
558,558,558,558,59073145,0,5,,,0.0
559,559,559,559,59020010,0,2,-5.782667900000001,-35.201280499999996,0.0
560,560,560,560,59054600,0,2,,,0.0
561,561,561,561,59054831,0,3,,,0.0
562,562,562,562,59071030,0,2,-5.826669,-35.24061920000001,0.0
563,563,563,563,59072080,0,1,-5.8211616999999976,-35.24627879999999,0.0
564,564,564,564,59054580,0,1,-5.8089496,-35.2158539,0.0
565,565,565,565,59072420,0,2,-5.8301640999999975,-35.2482334,0.0
566,566,566,566,59068450,0,2,-5.8627934999999995,-35.233264399999996,0.0
567,567,567,567,59619140,0,2,-5.1794669,-37.3476086,0.0
568,568,568,568,59056215,0,2,,,0.0
569,569,569,569,59060370,0,3,-5.8172928,-35.2343096,0.0
570,570,570,570,76963600,0,4,,,0.0
571,571,571,571,59060450,0,2,-5.8202235,-35.2315782,0.0
572,572,572,572,59062170,0,2,,,0.0
573,573,573,573,59020660,0,2,-5.8031983,-35.2024947,0.0
574,574,574,574,59020310,0,2,-5.798113,-35.2014151,0.0
575,575,575,575,59149370,0,4,-5.8789609999999985,-35.25321690000001,0.0
576,576,576,576,59064720,0,6,,,0.0
577,577,577,577,59070110,0,3,-5.829606099999999,-35.233993,0.0
578,578,578,578,59065090,0,1,,,0.0
579,579,579,579,59066120,0,4,-5.8461045999999985,-35.2125631,0.0
580,580,580,580,59068210,0,2,-5.8582822,-35.24161859999999,0.0
581,581,581,581,59068400,0,2,-5.858783499999999,-35.236467,0.0
582,582,582,582,51020041,0,2,,,0.0
583,583,583,583,59631360,0,1,-5.2144163,-37.3417575,0.0
584,584,584,584,59069280,0,2,-5.8448915,-35.2409323,0.0
585,585,585,585,59025360,0,1,-5.7825107000000004,-35.2082816,0.0
586,586,586,586,59123465,0,2,,,0.0
587,587,587,587,59145500,0,1,-5.9148188999999975,-35.28040700000001,0.0
588,588,588,588,59078290,0,1,-5.846659499999999,-35.2066364,0.0
589,589,589,589,59110270,0,4,-5.7558417,-35.2525745,0.0
590,590,590,590,59210000,0,1,-6.3948424999999975,-36.06759520000001,0.0
591,591,591,591,59133040,0,2,-5.7368692999999995,-35.24011270000001,0.0
592,592,592,592,59114010,0,2,,,0.0
593,593,593,593,59114035,0,1,-5.7591563,-35.2642181,0.0
594,594,594,594,59114050,0,4,-5.7623419,-35.26686189999999,0.0
595,595,595,595,59014170,0,1,-5.7861897,-35.19202329999999,0.0
596,596,596,596,59129470,0,1,-5.7433234,-35.2655929,0.0
597,597,597,597,59114420,0,1,-5.7614792999999995,-35.27610379999999,0.0
598,598,598,598,59115110,0,1,-5.7581668,-35.2816351,0.0
599,599,599,599,59158840,0,2,,,0.0
600,600,600,600,59115260,0,3,-5.759648700000001,-35.28403839999999,0.0
601,601,601,601,59014150,0,2,,,0.0
602,602,602,602,59115610,0,2,,,0.0
603,603,603,603,59129330,0,2,-5.742749799999999,-35.25784260000001,0.0
604,604,604,604,59123690,0,2,-5.7445448,-35.2386606,0.0
605,605,605,605,59152902,0,1,,,0.0
606,606,606,606,59108220,0,2,-5.7630779,-35.256003899999996,0.0
607,607,607,607,59152250,0,1,,,0.0
608,608,608,608,59104210,0,2,,,0.0
609,609,609,609,59082480,0,1,-5.8668792000000005,-35.199693599999996,0.0
610,610,610,610,59078420,0,1,-5.8447729000000015,-35.196877,0.0
611,611,611,611,53130540,0,1,,,0.0
612,612,612,612,59078480,0,2,-5.8512832999999995,-35.2002686,0.0
613,613,613,613,59123580,0,2,-5.7393066,-35.243835,0.0
614,614,614,614,58178000,0,2,-6.4551163,-36.197976399999995,0.0
615,615,615,615,59082110,0,3,-5.8592280999999975,-35.1976674,0.0
616,616,616,616,58840000,0,2,-6.8070569,-37.830003399999995,0.0
617,617,617,617,59086430,0,1,-5.8686501999999985,-35.2084724,0.0
618,618,618,618,59135350,0,1,-5.7319149000000005,-35.2523609,0.0
619,619,619,619,59315000,0,1,-6.766866900000001,-37.1044125,0.0
620,620,620,620,59151750,0,5,,,0.0
621,621,621,621,59012090,0,3,,,0.0
622,622,622,622,59275000,0,2,-6.2806868,-35.718846299999996,0.0
623,623,623,623,59090200,0,1,-5.8870752,-35.1737745,0.0
624,624,624,624,59152110,0,4,-5.8932444,-35.19321070000001,0.0
625,625,625,625,59136190,0,2,-5.7217549000000005,-35.2476306,0.0
626,626,626,626,59037370,0,1,-5.8059007000000005,-35.2233956,0.0
